,Taxa,GenomicDNA,rRNA16S,rRNA16S18S,GenomeCopy,CellNumber,NCBITaxonomy,Domain,Phylum,Class,Order,Family,Genus,Species,ex1,ex2,ex3,ex4,ex5,ex6
11,Methanobrevibacter.smithii,0.1,0.066,0.06,0.17,0.17,Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter;Methanobrevibacter.smithii,Archaea,Methanomadagroup,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter.smithii,,,,,,
12,Salmonella.enterica,0.01,0.009,0.008,0.007,0.0065,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella.enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella.enterica,,,,,,
13,Enterococcus.faecalis,0.001,9.00E-04,8.00E-04,0.0011,0.0011,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus.faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus.faecalis,,,,,,
14,Clostridium.perfringens,1.00E-04,2.00E-04,2.00E-04,9.00E-05,9.00E-05,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium.perfringens,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium.perfringens,,,,,,
15,Escherichia.coli.JM109,2.8,2.53,2.29,1.82,1.83,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia.coli.JM109,Bacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichiacoli,Escherichia.coli.JM109,,,,,,
16,Escherichia.coli.B3008,2.8,2.53,2.29,1.82,1.82,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia.coli.B3008,Bacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichiacoli,Escherichia.coli.B3008,,,,,,
17,Escherichia.coli.B.2207,2.8,2.29,2.07,1.64,1.65,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia.coli.B.2207,Bacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichiacoli,Escherichia.coli.B.2207,,,,,,
18,Escherichia.coli.B.766,2.8,2.31,2.09,1.66,1.66,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia.coli.B.766,Bacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichiacoli,Escherichia.coli.B.766,,,,,,
19,Escherichia.coli.B.1109,2.8,2.46,2.23,1.77,1.77,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia.coli.B.1109,Bacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichiacoli,Escherichia.coli.B.1109,,,,,,
20,Candida.albicans,1.5,0,3.11,0.31,0.16,Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Candida/Lodderomyces clade; Candida; Candida.albicans,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,Saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales, Debaryomycetaceae, Candida/Lodderomyces clade, Candida, Candida.albicans
21,Saccharomyces.cerevisiae,1.4,0,6.35,0.32,0.16,Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces; Saccharomyces.cerevisiae,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,Saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales, Saccharomycetaceae, Saccharomyces, Saccharomyces.cerevisiae,
